iter	Passed	Remaining
0	162	162254
1	164	82026
2	166	55187
3	167	41754
4	169	33703
5	171	28335
6	175	24835
7	176	21916
8	178	19649
9	180	17835
10	181	16350
11	183	15110
12	185	14058
13	189	13364
14	191	12567
15	193	11873
16	194	11224
17	195	10644
18	196	10124
19	197	9657
20	198	9235
21	199	8852
22	202	8590
23	203	8292
24	205	8004
25	206	7742
26	208	7516
27	210	7292
28	211	7092
29	213	6891
30	214	6718
31	217	6569
32	218	6395
33	219	6228
34	220	6071
35	221	5923
36	222	5800
37	224	5678
38	225	5553
39	226	5432
40	227	5317
41	231	5278
42	232	5181
43	233	5081
44	234	4984
45	235	4891
46	236	4802
47	237	4716
48	238	4635
49	239	4558
50	240	4482
51	241	4409
52	246	4398
53	247	4334
54	248	4268
55	249	4205
56	250	4143
57	251	4083
58	252	4026
59	253	3970
60	254	3917
61	255	3865
62	259	3864
63	261	3824
64	262	3776
65	263	3729
66	264	3683
67	265	3639
68	266	3595
69	267	3553
70	268	3514
71	269	3474
72	270	3437
73	272	3412
74	274	3391
75	276	3355
76	277	3320
77	278	3287
78	279	3253
79	280	3224
80	281	3195
81	282	3167
82	283	3134
83	284	3104
84	285	3075
85	289	3072
86	290	3046
87	291	3018
88	292	2991
89	293	2965
90	294	2940
91	295	2915
92	296	2890
93	297	2865
94	298	2841
95	299	2818
96	300	2795
97	303	2796
98	305	2780
99	307	2763
100	308	2746
101	310	2730
102	311	2709
103	312	2689
104	313	2669
105	314	2649
106	315	2630
107	318	2628
108	319	2613
109	320	2594
110	321	2576
111	322	2560
112	323	2543
113	324	2525
114	325	2508
115	326	2491
116	327	2473
117	328	2456
118	329	2440
119	330	2424
120	333	2420
121	334	2405
122	335	2390
123	336	2376
124	337	2361
125	338	2347
126	339	2331
127	340	2319
128	341	2306
129	342	2294
130	343	2281
131	345	2269
132	347	2265
133	349	2257
134	350	2247
135	351	2235
136	353	2224
137	354	2213
138	355	2202
139	356	2191
140	357	2180
141	358	2167
142	360	2157
143	362	2155
144	364	2149
145	365	2140
146	367	2130
147	368	2120
148	369	2110
149	370	2101
150	371	2091
151	373	2082
152	374	2072
153	375	2063
154	378	2063
155	382	2068
156	383	2061
157	385	2055
158	387	2050
159	389	2043
160	390	2033
161	395	2045
162	397	2042
163	400	2041
164	402	2037
165	404	2031
166	405	2024
167	410	2034
168	412	2027
169	413	2020
170	415	2012
171	416	2004
172	417	1997
173	419	1992
174	420	1984
175	424	1988
176	426	1982
177	427	1974
178	428	1967
179	430	1959
180	431	1952
181	432	1944
182	433	1937
183	435	1929
184	437	1925
185	438	1920
186	440	1914
187	441	1908
188	443	1901
189	444	1894
190	445	1886
191	446	1880
192	448	1875
193	449	1868
194	452	1869
195	454	1863
196	455	1856
197	456	1850
198	457	1843
199	459	1837
200	460	1831
201	461	1824
202	463	1820
203	468	1827
204	469	1821
205	470	1814
206	472	1809
207	473	1803
208	475	1799
209	477	1796
210	479	1792
211	480	1787
212	483	1787
213	485	1782
214	487	1778
215	488	1774
216	490	1768
217	491	1762
218	492	1756
219	497	1762
220	498	1756
221	499	1750
222	500	1744
223	502	1739
224	503	1733
225	504	1728
226	505	1722
227	507	1717
228	510	1717
229	529	1773
230	531	1770
231	534	1768
232	535	1763
233	537	1759
234	539	1756
235	545	1765
236	547	1761
237	549	1758
238	551	1757
239	560	1774
240	563	1773
241	565	1770
242	566	1765
243	573	1776
244	578	1783
245	582	1784
246	591	1802
247	595	1806
248	597	1802
249	603	1809
250	610	1820
251	612	1817
252	613	1812
253	622	1829
254	625	1826
255	626	1821
256	629	1818
257	635	1826
258	636	1821
259	638	1816
260	641	1817
261	644	1814
262	650	1821
263	651	1817
264	653	1811
265	654	1805
266	655	1800
267	658	1798
268	664	1806
269	670	1812
270	671	1807
271	673	1801
272	674	1796
273	681	1806
274	685	1806
275	688	1804
276	689	1800
277	696	1809
278	698	1804
279	701	1802
280	703	1798
281	704	1793
282	710	1799
283	712	1796
284	713	1790
285	715	1785
286	716	1780
287	719	1777
288	720	1773
289	727	1780
290	728	1775
291	729	1769
292	731	1764
293	732	1759
294	734	1754
295	736	1752
296	739	1750
297	740	1745
298	742	1739
299	743	1735
300	745	1730
301	746	1724
302	747	1719
303	748	1714
304	753	1717
305	755	1713
306	756	1708
307	758	1703
308	759	1697
309	761	1694
310	763	1690
311	768	1694
312	770	1690
313	771	1686
314	773	1682
315	775	1678
316	777	1674
317	778	1670
318	790	1688
319	792	1683
320	793	1679
321	795	1674
322	797	1671
323	798	1666
324	800	1661
325	802	1658
326	803	1654
327	805	1649
328	806	1644
329	807	1640
330	812	1641
331	813	1636
332	814	1632
333	816	1627
334	817	1623
335	819	1619
336	820	1614
337	822	1610
338	826	1610
339	827	1606
340	828	1601
341	829	1596
342	830	1591
343	832	1586
344	833	1582
345	834	1577
346	835	1572
347	836	1568
348	838	1564
349	841	1562
350	842	1557
351	843	1553
352	844	1548
353	846	1544
354	847	1539
355	848	1534
356	849	1530
357	850	1525
358	852	1522
359	856	1522
360	858	1519
361	860	1515
362	861	1511
363	862	1507
364	863	1502
365	864	1498
366	867	1495
367	873	1499
368	874	1495
369	876	1492
370	879	1491
371	881	1488
372	883	1484
373	888	1487
374	890	1484
375	892	1480
376	893	1477
377	895	1473
378	896	1469
379	898	1465
380	903	1467
381	905	1464
382	906	1460
383	908	1456
384	909	1453
385	911	1449
386	912	1446
387	920	1451
388	921	1447
389	922	1443
390	924	1439
391	925	1435
392	926	1430
393	927	1426
394	931	1427
395	933	1424
396	934	1420
397	936	1415
398	937	1411
399	938	1407
400	939	1403
401	941	1400
402	942	1396
403	944	1392
404	948	1393
